blockTime,mint,delta_raw,fee_lamports
1772472827,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,23124594,214761
1772472510,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,1868579754,101394
1772472510,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,7623395,83490
1772467243,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,-11217178187,5000
1772467201,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,5332579618,214400
1772467201,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,3028135670,83001
1772462578,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,7058629,121803
1772462578,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,1169463940,84600
1772439565,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,4203457,84702
1772439564,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,1675666008,59854
1772416431,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,-5332579618,5000
1772416431,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,-3028145209,5000
1772416385,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,1913497634,67122
1772402085,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,5561545249,28971
1772402066,GodL6KZ9uuUoQwELggtVzQkKmU1LfqmDokPibPeDKkhF,25337767042,80000
1772401349,GodL6KZ9uuUoQwELggtVzQkKmU1LfqmDokPibPeDKkhF,20606966993,80000
1772400943,GodL6KZ9uuUoQwELggtVzQkKmU1LfqmDokPibPeDKkhF,63469641898,80000
1772399937,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,480307,9861
1772399459,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,13901328,82967
1772396337,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,-2640352653,5000
1772396310,GodL6KZ9uuUoQwELggtVzQkKmU1LfqmDokPibPeDKkhF,-1237202839002,75023
1772396297,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,1198077010,82973
1772396252,GodL6KZ9uuUoQwELggtVzQkKmU1LfqmDokPibPeDKkhF,75411990575,80000
1772396242,GodL6KZ9uuUoQwELggtVzQkKmU1LfqmDokPibPeDKkhF,75411990575,80000
1772396207,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,-1184442615,62074
1772396178,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,3475484254,23964
1772358436,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,22605650,5000
1772354670,GodL6KZ9uuUoQwELggtVzQkKmU1LfqmDokPibPeDKkhF,1086378857852,80000
1772349838,GodL6KZ9uuUoQwELggtVzQkKmU1LfqmDokPibPeDKkhF,-3924649188987,7212
1772349822,GodL6KZ9uuUoQwELggtVzQkKmU1LfqmDokPibPeDKkhF,3924649188987,80000
1772336478,132STreShuLRNgkyF1QECv37yP9Cdp8JBAgnKBgKafed,-143903744009,214371
1772336468,GodL6KZ9uuUoQwELggtVzQkKmU1LfqmDokPibPeDKkhF,-1426662128825,8531
1772336449,GodL6KZ9uuUoQwELggtVzQkKmU1LfqmDokPibPeDKkhF,1216459546783,80000
1772334528,GodL6KZ9uuUoQwELggtVzQkKmU1LfqmDokPibPeDKkhF,105101291021,80000
1772334520,GodL6KZ9uuUoQwELggtVzQkKmU1LfqmDokPibPeDKkhF,105101291021,80000
1772331441,GodL6KZ9uuUoQwELggtVzQkKmU1LfqmDokPibPeDKkhF,-2930099455094,29283
1772331428,GodL6KZ9uuUoQwELggtVzQkKmU1LfqmDokPibPeDKkhF,2007991165062,80000
1772323034,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,-109724640711,63228
1772323006,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,55456129322,5000
1772323006,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,53398126296,5000
1772311200,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,-60366447980,5000
1772311200,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,-48426781756,5000
1772311167,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,109663614796,5000
1772310444,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,-109663096877,94732
1772310396,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,109663096910,52788
1772310332,GodL6KZ9uuUoQwELggtVzQkKmU1LfqmDokPibPeDKkhF,245704765982,80000
1772309320,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,-166102993167,57112
1772300971,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,166102993167,33436
1772300634,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,-165732109504,49175
1772279832,GodL6KZ9uuUoQwELggtVzQkKmU1LfqmDokPibPeDKkhF,676403524050,80000
1772271200,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,58168048454,26632
1772271181,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,59888083052,7078
1772268215,GodL6KZ9uuUoQwELggtVzQkKmU1LfqmDokPibPeDKkhF,-2596083545099,7445
1772268023,GodL6KZ9uuUoQwELggtVzQkKmU1LfqmDokPibPeDKkhF,2596083545099,80000
1772260529,GodL6KZ9uuUoQwELggtVzQkKmU1LfqmDokPibPeDKkhF,-12998025533155,11073
1772260490,GodL6KZ9uuUoQwELggtVzQkKmU1LfqmDokPibPeDKkhF,12998025533155,80000
1772167665,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,1286717838,5607
1772167665,9Kvh8PvWTgMDMwwCiJRFaVUgJ5iYhjDsZi5yQonkigFN,-1607130499471,5607
1772167653,BkSbFrDMkfkoG4NDUwadEGeQgVwoXkR3F3P1MPUnBAGS,-699948644038028,31130
1772167653,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,1693187297,31130
1772167620,GodL6KZ9uuUoQwELggtVzQkKmU1LfqmDokPibPeDKkhF,-222726823114,80001
1772167601,GodL6KZ9uuUoQwELggtVzQkKmU1LfqmDokPibPeDKkhF,111363411557,80000
1772167591,GodL6KZ9uuUoQwELggtVzQkKmU1LfqmDokPibPeDKkhF,111363411557,80000
1772156218,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,44696072863,35767
1772150220,CASHx9KJUStyftLFWGvEVf59SGeG9sh5FfcnZMVPCASH,-152900001,157604
1772150155,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,-54699214779,85001
1772150132,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,17360127209,5000
